Participante,VLT,Perfil,Frase,Condicao,Escolha,RT_Alvo
I3303,0,Bilingue,6,ThirdPSing,2,
I3303,0,Bilingue,7,ThirdPSing,1,4012
I3303,0,Bilingue,8,ThirdPSing,2,
I3304,0,Bilingue,1,ThirdPSing,2,
I3304,0,Bilingue,2,ThirdPSing,2,
I3304,0,Bilingue,3,ThirdPSing,2,
I3304,0,Bilingue,4,ThirdPSing,2,
I3304,0,Bilingue,5,ThirdPSing,1,1210
I3304,0,Bilingue,6,ThirdPSing,2,
I3304,0,Bilingue,7,ThirdPSing,2,
I3304,0,Bilingue,8,ThirdPSing,2,
I3305,0,Bilingue,1,ThirdPSing,1,2344
I3305,0,Bilingue,2,ThirdPSing,1,2501
I3305,0,Bilingue,3,ThirdPSing,2,
I3305,0,Bilingue,4,ThirdPSing,1,1077
I3305,0,Bilingue,5,ThirdPSing,2,
I3305,0,Bilingue,6,ThirdPSing,2,
I3305,0,Bilingue,7,ThirdPSing,1,1734
I3305,0,Bilingue,8,ThirdPSing,2,
I3306,0,Bilingue,1,ThirdPSing,1,3167
I3306,0,Bilingue,2,ThirdPSing,2,
I3306,0,Bilingue,3,ThirdPSing,2,
I3306,0,Bilingue,4,ThirdPSing,2,
I3306,0,Bilingue,5,ThirdPSing,1,2108
I3306,0,Bilingue,6,ThirdPSing,2,
I3306,0,Bilingue,7,ThirdPSing,1,3186
I3306,0,Bilingue,8,ThirdPSing,1,2179
I3307,0,Bilingue,1,ThirdPSing,2,
I3307,0,Bilingue,2,ThirdPSing,1,857
I3307,0,Bilingue,3,ThirdPSing,2,
I3307,0,Bilingue,4,ThirdPSing,2,
I3307,0,Bilingue,5,ThirdPSing,1,2829
I3307,0,Bilingue,6,ThirdPSing,2,
I3307,0,Bilingue,7,ThirdPSing,2,
I3307,0,Bilingue,8,ThirdPSing,2,
I3308,0,Bilingue,1,ThirdPSing,2,
I3308,0,Bilingue,2,ThirdPSing,2,
I3308,0,Bilingue,3,ThirdPSing,2,
I3308,0,Bilingue,4,ThirdPSing,2,
I3308,0,Bilingue,5,ThirdPSing,2,
I3308,0,Bilingue,6,ThirdPSing,2,
I3308,0,Bilingue,7,ThirdPSing,2,
I3308,0,Bilingue,8,ThirdPSing,2,
I3309,0,Bilingue,1,ThirdPSing,2,
I3309,0,Bilingue,2,ThirdPSing,1,3872
I3309,0,Bilingue,3,ThirdPSing,2,
I3309,0,Bilingue,4,ThirdPSing,1,
I3309,0,Bilingue,5,ThirdPSing,1,3327
I3309,0,Bilingue,6,ThirdPSing,1,5064
I3309,0,Bilingue,7,ThirdPSing,2,
I3309,0,Bilingue,8,ThirdPSing,2,
I3310,0,Bilingue,1,ThirdPSing,1,4578
I3310,0,Bilingue,2,ThirdPSing,1,4737
I3310,0,Bilingue,3,ThirdPSing,2,
I3310,0,Bilingue,4,ThirdPSing,1,1568
I3310,0,Bilingue,5,ThirdPSing,1,1988
I3310,0,Bilingue,6,ThirdPSing,2,
I3310,0,Bilingue,7,ThirdPSing,1,2877
I3310,0,Bilingue,8,ThirdPSing,2,
I3311,0,Bilingue,1,ThirdPSing,2,
I3311,0,Bilingue,2,ThirdPSing,2,
I3311,0,Bilingue,3,ThirdPSing,2,
I3311,0,Bilingue,4,ThirdPSing,1,2734
I3311,0,Bilingue,5,ThirdPSing,2,
I3311,0,Bilingue,6,ThirdPSing,1,1693
I3311,0,Bilingue,7,ThirdPSing,2,
I3311,0,Bilingue,8,ThirdPSing,2,
I3312,0,Bilingue,1,ThirdPSing,1,1182
I3312,0,Bilingue,2,ThirdPSing,2,
I3312,0,Bilingue,3,ThirdPSing,2,
I3312,0,Bilingue,4,ThirdPSing,1,1330
I3312,0,Bilingue,5,ThirdPSing,2,
I3312,0,Bilingue,6,ThirdPSing,2,
I3312,0,Bilingue,7,ThirdPSing,1,1486
I3312,0,Bilingue,8,ThirdPSing,2,
C1114,0,Bilingue,1,ThirdPSing,2,
C1114,0,Bilingue,2,ThirdPSing,1,2669
C1114,0,Bilingue,3,ThirdPSing,2,
C1114,0,Bilingue,4,ThirdPSing,1,1975
C1114,0,Bilingue,5,ThirdPSing,2,
C1114,0,Bilingue,6,ThirdPSing,2,
C1114,0,Bilingue,7,ThirdPSing,2,
C1114,0,Bilingue,8,ThirdPSing,2,
C1115,0,Bilingue,1,ThirdPSing,2,
C1115,0,Bilingue,2,ThirdPSing,2,
C1115,0,Bilingue,3,ThirdPSing,2,
C1115,0,Bilingue,4,ThirdPSing,1,1420
C1115,0,Bilingue,5,ThirdPSing,2,
C1115,0,Bilingue,6,ThirdPSing,2,
